[2024-12-24T07:56:50.373+0000] {subprocess.py:93} INFO - Fetched data for page 226
[2024-12-24T07:56:50.374+0000] {subprocess.py:93} INFO - Fetched data for page 227
[2024-12-24T07:56:50.374+0000] {subprocess.py:93} INFO - Fetched data for page 228
[2024-12-24T07:56:50.375+0000] {subprocess.py:93} INFO - Fetched data for page 229
[2024-12-24T07:56:50.375+0000] {subprocess.py:93} INFO - Fetched data for page 230
[2024-12-24T07:56:50.375+0000] {subprocess.py:93} INFO - Fetched data for page 231
[2024-12-24T07:56:50.376+0000] {subprocess.py:93} INFO - Fetched data for page 232
[2024-12-24T07:56:50.376+0000] {subprocess.py:93} INFO - Fetched data for page 233
[2024-12-24T07:56:50.376+0000] {subprocess.py:93} INFO - Fetched data for page 234
[2024-12-24T07:56:50.377+0000] {subprocess.py:93} INFO - Fetched data for page 235
[2024-12-24T07:56:50.377+0000] {subprocess.py:93} INFO - Fetched data for page 236
[2024-12-24T07:56:50.377+0000] {subprocess.py:93} INFO - Fetched data for page 237
[2024-12-24T07:56:50.378+0000] {subprocess.py:93} INFO - Fetched data for page 238
[2024-12-24T07:56:50.378+0000] {subprocess.py:93} INFO - Fetched data for page 239
[2024-12-24T07:56:50.378+0000] {subprocess.py:93} INFO - Fetched data for page 240
[2024-12-24T07:56:50.379+0000] {subprocess.py:93} INFO - Fetched data for page 241
[2024-12-24T07:56:50.379+0000] {subprocess.py:93} INFO - Fetched data for page 242
[2024-12-24T07:56:50.379+0000] {subprocess.py:93} INFO - Fetched data for page 243
[2024-12-24T07:56:50.380+0000] {subprocess.py:93} INFO - Fetched data for page 244
[2024-12-24T07:56:50.380+0000] {subprocess.py:93} INFO - Fetched data for page 245
[2024-12-24T07:56:50.380+0000] {subprocess.py:93} INFO - Fetched data for page 246
[2024-12-24T07:56:50.381+0000] {subprocess.py:93} INFO - Fetched data for page 247
[2024-12-24T07:56:50.381+0000] {subprocess.py:93} INFO - Fetched data for page 248
[2024-12-24T07:56:50.382+0000] {subprocess.py:93} INFO - Fetched data for page 249
[2024-12-24T07:56:50.382+0000] {subprocess.py:93} INFO - Fetched data for page 250
[2024-12-24T07:56:50.383+0000] {subprocess.py:93} INFO - Fetched data for page 251
